Language_ID,Language_name,Parameter,Value,Description
eng,English,Sex-based and Non-sex-based Gender Systems,Sex-based,Sex-based gender system
eng,English,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender distinctions in 3rd person singular only
eng,English,Symmetric and Asymmetric Standard Negation,Both,Symmetric and asymmetric standard negation: Type SymAsy
eng,English,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender distinctions in 3rd person singular only
eng,English,Antipassive Constructions,No antipassive,No antipassive
eng,English,Antipassive Constructions,No antipassive,No antipassive
eng,English,Suppletion in Imperatives and Hortatives,None (= no suppletive imperatives reported in the reference material),None (= no suppletive imperatives reported in the reference material)
eng,English,Systems of Gender Assignment,Semantic,Semantic assignment
eng,English,Suppletion According to Tense and Aspect,Tense,Suppletion according to tense
eng,English,Suppletion According to Tense and Aspect,Tense,Suppletion according to tense
eng,English,The Associative Plural,No associative plural,Associative plural absent
eng,English,Verbal Person Marking,Only the A argument,Person marking of only the A argument
eng,English,Third Person Pronouns and Demonstratives,Related for all demonstratives,Third person pronouns and demonstratives are related to all demonstratives
eng,English,Ditransitive Constructions: The Verb 'Give',Mixed,Mixed
eng,English,Locus of Marking: Whole-language Typology,Dependent-marking,Consistently dependent-marking
eng,English,Order of Numeral and Noun,Numeral-Noun,Numeral precedes noun (NumN)
eng,English,Voicing in Plosives and Fricatives,In both plosives and fricatives,Voicing contrast in both plosives and fricatives
eng,English,Consonant-Vowel Ratio,Low,Low
eng,English,Prefixing vs. Suffixing in Inflectional Morphology,Strongly suffixing,Predominantly suffixing
eng,English,Consonant-Vowel Ratio,Low,Low
eng,English,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Pronominal subjects are expressed by pronouns in subject position that are normally if not obligatorily present
eng,English,Nonperiphrastic Causative Constructions,Morphological but no compound,Morphological type but no compound type
eng,English,Order of Subject and Verb,SV,Subject precedes verb (SV)
eng,English,Nonperiphrastic Causative Constructions,Morphological but no compound,Morphological type but no compound type
eng,English,Prefixing vs. Suffixing in Inflectional Morphology,Strongly suffixing,Predominantly suffixing
eng,English,Epistemic Possibility,Verbal constructions,The language can express epistemic possibility with verbal constructions
eng,English,Order of Subject and Verb,SV,Subject precedes verb (SV)
eng,English,Voicing in Plosives and Fricatives,In both plosives and fricatives,Voicing contrast in both plosives and fricatives
eng,English,Expression of Pronominal Subjects,Obligatory pronouns in subject position,Pronominal subjects are expressed by pronouns in subject position that are normally if not obligatorily present
eng,English,Alignment of Verbal Person Marking,Accusative,Accusative alignment
eng,English,Pronominal and Adnominal Demonstratives,Identical,Same forms
eng,English,Number of Cases,2 cases,2 case categories
eng,English,Number of Cases,2 cases,2 case categories
eng,English,Alignment of Case Marking of Pronouns,Nominative - accusative (standard),Nominative - accusative (standard)
eng,English,Zero Marking of A and P Arguments,Non-zero marking,Non-zero marking
eng,English,Distance Contrasts in Demonstratives,Two-way contrast,Two-way contrast
eng,English,Negative Morphemes,Negative particle,Negative particle
eng,English,Negative Morphemes,Negative particle,Negative particle
eng,English,Epistemic Possibility,Verbal constructions,The language can express epistemic possibility with verbal constructions
eng,English,Alignment of Case Marking of Pronouns,Nominative - accusative (standard),Nominative - accusative (standard)
eng,English,Distance Contrasts in Demonstratives,Two-way contrast,Two-way contrast
eng,English,Pronominal and Adnominal Demonstratives,Identical,Same forms
eng,English,Person Marking on Adpositions,No person marking,Adpositions without person marking
eng,English,Order of Numeral and Noun,Numeral-Noun,Numeral precedes noun (NumN)
eng,English,Zero Marking of A and P Arguments,Non-zero marking,Non-zero marking
eng,English,Reduplication,No productive reduplication,No productive reduplication
eng,English,Vowel Nasalization,Contrast absent,Contrastive nasal vowels absent
eng,English,Vowel Nasalization,Contrast absent,Contrastive nasal vowels absent
eng,English,Reduplication,No productive reduplication,No productive reduplication
eng,English,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,No inclusive/exclusive opposition
eng,English,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,No inclusive/exclusive opposition
eng,English,Person Marking on Adpositions,No person marking,Adpositions without person marking
eng,English,Overlap between Situational and Epistemic Modal Marking,Overlap for both possibility and necessity,"The language has markers that can code both situational and epistemic modality, both for possibility and necessity"
eng,English,Alignment of Verbal Person Marking,Accusative,Accusative alignment
eng,English,Overlap between Situational and Epistemic Modal Marking,Overlap for both possibility and necessity,"The language has markers that can code both situational and epistemic modality, both for possibility and necessity"
eng,English,Periphrastic Causative Constructions,Sequential but no purposive,Sequential type but no purposive type
eng,English,Periphrastic Causative Constructions,Sequential but no purposive,Sequential type but no purposive type
eng,English,Verbal Number and Suppletion,,No singular-(dual)-plural pairs/triples
eng,English,Locus of Marking in Possessive Noun Phrases,Dependent marking,Possessor is dependent-marked
eng,English,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I','We' and 'I' identical
eng,English,Verbal Person Marking,Only the A argument,Person marking of only the A argument
eng,English,Locus of Marking: Whole-language Typology,Dependent-marking,Consistently dependent-marking
eng,English,Verbal Number and Suppletion,,No singular-(dual)-plural pairs/triples
fre,French,M in First Person Singular,m in first person singular,m in first person singular
fre,French,M in First Person Singular,m in first person singular,m in first person singular
fre,French,Order of Demonstrative and Noun,Demonstrative-Noun,Demonstrative word precedes noun (DemN)
fre,French,Order of Demonstrative and Noun,Demonstrative-Noun,Demonstrative word precedes noun (DemN)
fre,French,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender distinctions in 3rd person singular only
fre,French,"Position of Negative Word With Respect to Subject, Object, and Verb",OptDoubleNeg,Optional double negation
fre,French,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,No inclusive/exclusive opposition
fre,French,"Position of Negative Word With Respect to Subject, Object, and Verb",OptDoubleNeg,Optional double negation
fre,French,Minor morphological means of signaling negation,,"No negative tone, infix or stem change"
fre,French,Occurrence of Nominal Plurality,"All nouns, always obligatory","Plural in all nouns, always obligatory"
fre,French,Plurality in Independent Personal Pronouns,Person-number stem + nominal plural affix,Person-number stem with a nominal plural affix
fre,French,Order of Adverbial Subordinator and Clause,Initial subordinator word,Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause
fre,French,Minor morphological means of signaling negation,,"No negative tone, infix or stem change"
fre,French,Adjectives without Nouns,Without marking,"Adjective may occur without noun, and without marking"
fre,French,Adjectives without Nouns,Without marking,"Adjective may occur without noun, and without marking"
fre,French,Occurrence of Nominal Plurality,"All nouns, always obligatory","Plural in all nouns, always obligatory"
fre,French,Distance Contrasts in Demonstratives,No distance contrast,No distance contrast
fre,French,Number of Possessive Nouns,None reported,None reported
fre,French,Gender Distinctions in Independent Personal Pronouns,3rd person singular only,Gender distinctions in 3rd person singular only
fre,French,N-M Pronouns,No N-M pronouns,No N-M pronouns
fre,French,Number of Possessive Nouns,None reported,None reported
fre,French,N-M Pronouns,No N-M pronouns,No N-M pronouns
fre,French,Plurality in Independent Personal Pronouns,Person-number stem + nominal plural affix,Person-number stem with a nominal plural affix
fre,French,Order of Adverbial Subordinator and Clause,Initial subordinator word,Adverbial subordinators which are separate words and which appear at the beginning of the subordinate clause
fre,French,Voicing and Gaps in Plosive Systems,None missing in /p t k b d g/,/p t k b d g/
fre,French,Postverbal Negative Morphemes,VNeg,Postverbal negative word
fre,French,Order of Negative Morpheme and Verb,OptDoubleNeg,Optional Double Negation
fre,French,Order of Negative Morpheme and Verb,OptDoubleNeg,Optional Double Negation
fre,French,Pronominal and Adnominal Demonstratives,Different stem,Different stems
fre,French,Definite Articles,Definite word distinct from demonstrative,Definite word distinct from demonstrative
fre,French,Definite Articles,Definite word distinct from demonstrative,Definite word distinct from demonstrative
fre,French,Tea,Words derived from Min Nan Chinese te,Words derived from Min Nan Chinese te
fre,French,Tea,Words derived from Min Nan Chinese te,Words derived from Min Nan Chinese te
fre,French,Possessive Classification,No possessive classification,No possessive classification
fre,French,Inclusive/Exclusive Distinction in Independent Pronouns,No inclusive/exclusive,No inclusive/exclusive opposition
